,Label,candidate,Section Name,Section Number,Question Number,Column,Type of Variable,SAS Variable Name,Question Prologue,Question
106,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
107,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
108,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
109,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
110,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
111,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
112,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
113,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
114,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
115,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
116,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
117,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
118,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
119,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
120,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
121,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
122,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
123,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
124,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
125,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
126,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
127,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
128,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
129,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
130,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
131,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
132,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
133,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
134,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
135,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
136,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
137,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
138,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
139,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
140,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
141,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
142,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
143,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
144,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
145,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
146,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
147,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
148,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
149,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
150,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
151,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
152,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
153,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
154,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
155,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
156,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
157,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
158,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
159,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
160,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
161,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
162,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
163,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
164,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
165,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
166,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
167,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
168,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
169,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
170,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
171,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
172,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
173,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
174,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
175,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
176,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
177,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
178,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
179,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
180,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
181,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
182,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
183,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
184,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
185,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
186,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
187,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
188,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
189,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
190,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
191,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
192,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
193,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
194,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
195,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
196,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
197,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
198,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
199,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
200,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
201,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
202,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
203,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
204,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
205,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
206,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
207,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
208,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
209,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
210,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
211,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
212,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
213,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
214,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
215,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
216,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
217,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
218,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
219,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
220,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
221,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
222,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
223,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
224,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
225,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
226,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
227,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
228,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
229,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
230,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
